CardNumber,CardName,CardText,CardType,Colors,Traits,Level,Cost,AP,HP,Keywords,Rarity,SetNumber,CollectorNumber,LinkRequirements
GU-001,RX-78-2 Gundam,[Activate・Main] (1) Rest this card: Draw 1 card.,Unit,Red,Mobile Suit|Gundam,3,3,6,7,Repair(2),Rare,SET1,001,
GU-002,Zaku II,[Continuous] While you have 3 or more rested Units this card gains +2 AP.,Unit,Green,Mobile Suit|Zeon,2,2,4,5,,Common,SET1,002,
GU-003,Beam Saber,[Activate・Main] Choose 1 of your Units. It gains +3 AP until end of turn.,Command,Red,Weapon,0,1,0,0,,Uncommon,SET1,003,
GU-004,White Base,[Continuous] Your Units with 'Gundam' in their name gain +1 HP.,Base,Red,,0,0,0,10,,Rare,SET1,004,
GU-005,MS-06S Zaku II (Char),[On Deploy] You may search your deck for a red Command card reveal it and add it to your hand.,Unit,Red,Mobile Suit|Zeon,4,4,7,6,FirstStrike,SuperRare,SET1,005,
GU-006,GM,,Unit,Red,Mobile Suit|Earth Federation,2,2,3,4,,Common,SET1,006,
GU-007,Gouf,[On Attack] If defending player has no active Units deal 1 damage to their Base.,Unit,Green,Mobile Suit|Zeon,3,3,5,5,,Uncommon,SET1,007,
GU-008,Emergency Repair,[Activate・Main] Choose 1 of your Units with damage. Remove all damage from it.,Command,Colorless,Support,0,2,0,0,Burst,Common,SET1,008,
GU-009,Gundam Hammer,[Activate・Main] Choose 1 enemy Unit. It cannot activate abilities until end of turn.,Command,Red,Weapon,0,2,0,0,,Uncommon,SET1,009,
GU-010,Federation HQ,[Continuous] Once per turn when you play a red Unit you may draw 1 card.,Base,Red,,0,0,0,12,,Rare,SET1,010,
GU-011,Amuro Ray,[Continuous] When paired the Link Unit gains +2 AP.,Pilot,Red,Pilot|Earth Federation|Newtype,2,1,0,0,,Rare,SET1,011,
GU-012,Guntank,[On Deploy] Deal 2 damage to target enemy Unit.,Unit,Blue,Mobile Suit|Earth Federation,3,3,4,8,Blocker,Uncommon,SET1,012,
GU-013,Gogg,[Continuous] This Unit gains +1 AP for each of your rested resources.,Unit,Blue,Mobile Suit|Zeon,3,3,5,6,Support(1),Common,SET1,013,
GU-014,RX-78-2 Gundam (Link Unit),[Link Unit] This Unit can attack on the turn it's deployed when paired with a Pilot.,Unit,Red,Mobile Suit|Gundam|Link Unit,4,4,8,8,LinkUnit,SuperRare,SET1,014,Colors:Red
GU-015,Char Aznable,[Continuous] When paired the Link Unit gains FirstStrike.,Pilot,Red,Pilot|Zeon|Newtype,3,2,0,0,,SuperRare,SET1,015,
GU-016,Gelgoog,[On Attack] You may rest 1 resource. If you do this Unit gains +3 AP until end of battle.,Unit,Yellow,Mobile Suit|Zeon,4,4,6,6,,Uncommon,SET1,016,
GU-017,Beam Rifle,[Activate・Main] (2) Choose 1 enemy Unit. Deal 3 damage to it.,Command,Red,Weapon,0,2,0,0,,Common,SET1,017,
GU-018,Dom,[On Deploy] Choose 1 of your Units. It gains Blocker until end of turn.,Unit,Green,Mobile Suit|Zeon,3,3,5,7,,Uncommon,SET1,018,
GU-019,Zeon Outpost,[At start of your turn] Set 1 active resource.,Base,Green,,0,0,0,10,,Rare,SET1,019,
GU-020,MSN-02 Zeong,[On Deploy] Destroy all enemy Units with 3 or less HP.,Unit,Black,Mobile Suit|Zeon|Newtype,6,6,9,9,Breach(2)|Suppression,SecretRare,SET1,020,
GU-021,Guncannon,[On Attack] Deal 1 damage to defending player's Base.,Unit,Red,Mobile Suit|Earth Federation,3,3,5,6,Support(2),Common,SET1,021,
GU-022,Acguy,[Burst] When this card is broken as a shield return it to your hand instead.,Unit,Blue,Mobile Suit|Zeon,2,2,3,4,Burst,Uncommon,SET1,022,
GU-023,Sazabi (Link Unit),[Link Unit] [On Attack] Deal 2 damage to target enemy Unit.,Unit,Red,Mobile Suit|Zeon|Link Unit,5,5,10,10,LinkUnit|FirstStrike,SecretRare,SET1,023,Traits:Pilot|Newtype
GU-024,Lalah Sune,[Continuous] When paired the Link Unit gains Blocker and Repair(2).,Pilot,Red,Pilot|Newtype,2,1,0,0,,Rare,SET1,024,
GU-025,Bazooka,[Activate・Main] (3) Destroy target enemy Unit with 5 or less HP.,Command,Yellow,Weapon,0,3,0,0,,Rare,SET1,025,
